jurisdiction,register,name,identifier,authorised_since_or_filings,lei,address
Luxembourg,CSSF specialised-PFS Family Office,ADEPA ASSET SERVICING LUXEMBOURG S.A.,P00000652,2000-03-10,222100XL7K4QJ2HIHX41,"44, avenue J. F. Kennedy L-1855 Luxembourg"
Luxembourg,CSSF specialised-PFS Family Office,ALTUM LUXEMBOURG S.A.,P00000504,2022-07-11,,"16, rue Erasme L-1468 Luxembourg"
Luxembourg,CSSF specialised-PFS Family Office,CORIENT LUXEMBOURG S.A.,P00000401,2011-11-15,,"58, rue Charles Martel L-2134 Luxembourg"
Luxembourg,CSSF specialised-PFS Family Office,TRUSTMOORE LUXEMBOURG S.A.,P00000743,2015-03-11,529900BMRTVLTTWXKJ18,"6, rue Dicks L-1417 Luxembourg"
Luxembourg,CSSF specialised-PFS Family Office,WHITE OAK MANAGEMENT,P00000474,2018-07-13,,"28, avenue Pasteur L-2310 Luxembourg"
United States,SEC EDGAR 13F (named 'family office'),BOSTON FAMILY OFFICE LLC,CIK 0001039807,109 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),Duquesne Family Office LLC,CIK 0001536411,62 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Geller Family Office Services, LLC",CIK 0001354739,51 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"PATHSTONE FAMILY OFFICE, LLC",CIK 0001511137,51 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Tarbox Family Office, Inc.",CIK 0001599603,37 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Biltmore Family Office, LLC",CIK 0001731123,35 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Independent Family Office, LLC",CIK 0001756485,28 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Kopp Family Office, LLC",CIK 0001683689,28 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Arrowroot Family Office, LLC",CIK 0002017744,27 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"CVA Family Office, LLC",CIK 0001802084,27 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Stokes Family Office, LLC",CIK 0001802278,27 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),Standard Family Office LLC,CIK 0001809494,24 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),Allie Family Office LLC,CIK 0001908612,23 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),COLLECTIVE FAMILY OFFICE LLC,CIK 0001845066,23 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Capitol Family Office, Inc.",CIK 0001863768,20 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Custos Family Office, LLC",CIK 0001904423,19 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),Virtus Family Office LLC,CIK 0001913482,16 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Wealthgate Family Office, LLC",CIK 0001835441,16 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Callan Family Office, LLC",CIK 0001938970,15 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),INTREPID FAMILY OFFICE LLC,CIK 0001596197,15 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),MARCUARD FAMILY OFFICE LTD,CIK 0001538112,15 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"FIDUCIARY FAMILY OFFICE, LLC",CIK 0002020280,11 13F filings,,
United States,SEC EDGAR 13F (named 'family office'),"Fortitude Family Office, LLC",CIK 0001950506,11 13F filings,,
